date,country,adm,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_deaths,class
2020-01-20,Japan,all,1,,,,
2020-01-20,South Korea,all,1,,,,
2020-01-20,Thailand,all,2,,,,
2020-01-21,Japan,all,1,,,,
2020-01-21,South Korea,all,1,,,,
2020-01-23,Japan,all,1,,,,
2020-01-23,South Korea,all,1,,,,
2020-01-23,Thailand,all,4,,,,
2020-01-23,USA,all,1,,,,
2020-01-24,Japan,all,1,,,,
2020-01-24,Singapore,all,1,,,,
2020-01-24,South Korea,all,2,,,,
2020-01-24,Thailand,all,4,,,,
2020-01-24,USA,all,1,,,,
2020-01-24,Vietnam,all,1,,,,
2020-01-25,Australia,all,3,,,,
2020-01-25,France,all,3,,,,
2020-01-25,Japan,all,3,,,,
2020-01-25,Nepal,all,1,,,,
2020-01-25,Singapore,all,3,,,,
2020-01-25,South Korea,all,2,,,,
2020-01-25,Thailand,all,4,,,,
2020-01-25,USA,all,2,,,,
2020-01-25,Vietnam,all,2,,,,
2020-01-26,Australia,all,4,,,,
2020-01-26,France,all,3,,,,
2020-01-26,Japan,all,3,,,,
2020-01-26,Malaysia,all,3,,,,
2020-01-26,Nepal,all,1,,,,
2020-01-26,Singapore,all,4,,,,
2020-01-26,South Korea,all,2,,,,
2020-01-26,Thailand,all,5,,,,
2020-01-26,USA,all,2,,,,
2020-01-26,Vietnam,all,2,,,,
2020-01-27,Australia,all,4,,,,
2020-01-27,Canada,all,1,,,,
2020-01-27,France,all,3,,,,
2020-01-27,Japan,all,4,,,,
2020-01-27,Malaysia,all,4,,,,
2020-01-27,Nepal,all,1,,,,
2020-01-27,Singapore,all,4,,,,
2020-01-27,South Korea,all,4,,,,
2020-01-27,Thailand,all,5,,,,
2020-01-27,USA,all,5,,,,
2020-01-27,Vietnam,all,2,,,,
2020-01-28,Australia,all,5,,,,
2020-01-28,Cambodia,all,1,,,,
2020-01-28,Canada,all,2,,,,
2020-01-28,France,all,3,,,,
2020-01-28,Germany,all,1,,,,
2020-01-28,Japan,all,6,,,,
2020-01-28,Malaysia,all,4,,,,
2020-01-28,Nepal,all,1,,,,
2020-01-28,Singapore,all,7,,,,
2020-01-28,South Korea,all,4,,,,
2020-01-28,Sri Lanka,all,1,,,,
2020-01-28,Thailand,all,14,,,,
2020-01-28,USA,all,5,,,,
2020-01-28,Vietnam,all,2,,,,
2020-01-29,Australia,all,7,,,,
2020-01-29,Cambodia,all,1,,,,
2020-01-29,Canada,all,3,,,,
2020-01-29,Finland,all,1,,,,
2020-01-29,France,all,4,,,,
2020-01-29,Germany,all,4,,,,
2020-01-29,India,all,1,,,,
2020-01-29,Japan,all,7,,,,
2020-01-29,Malaysia,all,4,,,,
2020-01-29,Nepal,all,1,,,,
2020-01-29,Philippines,all,1,,,,
2020-01-29,Singapore,all,7,,,,
2020-01-29,South Korea,all,4,,,,
2020-01-29,Sri Lanka,all,1,,,,
2020-01-29,Thailand,all,14,,,,
2020-01-29,United Arab Emirates,all,4,,,,
2020-01-29,USA,all,5,,,,
2020-01-29,Vietnam,all,2,,,,
2020-01-30,Australia,all,7,,,,
2020-01-30,Cambodia,all,1,,,,
2020-01-30,Canada,all,3,,,,
2020-01-30,Finland,all,1,,,,
2020-01-30,France,all,5,,,,
2020-01-30,Germany,all,4,,,,
2020-01-30,India,all,1,,,,
2020-01-30,Japan,all,11,,,,
2020-01-30,Malaysia,all,7,,,,
2020-01-30,Nepal,all,1,,,,
2020-01-30,Philippines,all,1,,,,
2020-01-30,Singapore,all,10,,,,
2020-01-30,South Korea,all,4,,,,
2020-01-30,Sri Lanka,all,1,,,,
2020-01-30,Thailand,all,14,,,,
2020-01-30,United Arab Emirates,all,4,,,,
2020-01-30,USA,all,5,,,,
2020-01-30,Vietnam,all,2,,,,
2020-01-31,Australia,all,9,,,,
2020-01-31,Cambodia,all,1,,,,
2020-01-31,Canada,all,3,,,,
2020-01-31,Finland,all,1,,,,
2020-01-31,France,all,6,,,,
