date,country,adm,population_E4,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_sus,n_inc_deaths,n_cum_clin,n_cum_tot,n_inc_clin,n_inc_tot
2020-01-20,China,Beijing,2154,5,,,,,,,,
2020-01-20,China,Guangdong,11346,14,,,,,,,,
2020-01-20,China,Hubei,5917,258,,,,,,,,
2020-01-20,China,Shanghai,2424,1,,,,,,,,
2020-01-21,China,Beijing,2154,5,,,,,,,,
2020-01-21,China,Chongqing,3102,1,,,,,,,,
2020-01-21,China,Guangdong,11346,17,,,,,,,,
2020-01-21,China,Henan,9605,1,,,,,,,,
2020-01-21,China,Hubei,5917,270,,,,,,,,
2020-01-21,China,Hunan,6899,1,,,,,,,,
2020-01-21,China,Jiangxi,4648,2,,,,,,,,
2020-01-21,China,Shandong,10047,1,,,,,,,,
2020-01-21,China,Shanghai,2424,2,,,,,,,,
2020-01-21,China,Sichuan,8341,1,,,,,,,,
2020-01-21,China,Taiwan,2359,1,,,,,,,,
2020-01-21,China,Tianjin,1560,2,,,,,,,,
2020-01-21,China,Yunnan,4830,1,,,,,,,,
2020-01-21,China,Zhejiang,5737,5,,,,,,,,
2020-01-23,China,Beijing,2154,10,,,,,,,,
2020-01-23,China,Chongqing,3102,5,,,,,,,,
2020-01-23,China,Guangdong,11346,26,,,,,,,,
2020-01-23,China,Henan,9605,1,,,,,,,,
2020-01-23,China,Hong Kong SAR,745,1,,,,,,,,
2020-01-23,China,Hubei,5917,375,,,,,,,,
2020-01-23,China,Hunan,6899,1,,,,,,,,
2020-01-23,China,Jiangxi,4648,2,,,,,,,,
2020-01-23,China,Macao SAR,66,1,,,,,,,,
2020-01-23,China,Shandong,10047,1,,,,,,,,
2020-01-23,China,Shanghai,2424,9,,,,,,,,
2020-01-23,China,Sichuan,8341,2,,,,,,,,
2020-01-23,China,Taiwan,2359,1,,,,,,,,
2020-01-23,China,Tianjin,1560,2,,,,,,,,
2020-01-23,China,Yunnan,4830,1,,,,,,,,
2020-01-23,China,Zhejiang,5737,5,,,,,,,,
2020-01-24,China,Beijing,2154,10,,,,,,,,
2020-01-24,China,Chongqing,3102,5,,,,,,,,
2020-01-24,China,Guangdong,11346,32,,,,,,,,
2020-01-24,China,Henan,9605,1,,,,,,,,
2020-01-24,China,Hong Kong SAR,745,2,,,,,,,,
2020-01-24,China,Hubei,5917,375,,,,,,,,
2020-01-24,China,Hunan,6899,1,,,,,,,,
2020-01-24,China,Jiangxi,4648,2,,,,,,,,
2020-01-24,China,Macao SAR,66,2,,,,,,,,
2020-01-24,China,Shandong,10047,1,,,,,,,,
2020-01-24,China,Shanghai,2424,9,,,,,,,,
2020-01-24,China,Sichuan,8341,2,,,,,,,,
2020-01-24,China,Taiwan,2359,1,,,,,,,,
2020-01-24,China,Tianjin,1560,2,,,,,,,,
2020-01-24,China,Yunnan,4830,1,,,,,,,,
2020-01-24,China,Zhejiang,5737,5,,,,,,,,
2020-02-01,China,Anhui,6324,297,,,,,,,,
2020-02-01,China,Beijing,2154,156,,,,,,,,
2020-02-01,China,Chongqing,3102,238,,,,,,,,
2020-02-01,China,Fujian,3941,144,,,,,,,,
2020-02-01,China,Gansu,2637,35,,,,,,,,
2020-02-01,China,Guangdong,11346,520,,,,,,,,
2020-02-01,China,Guangxi,4926,100,,,,,,,,
2020-02-01,China,Guizhou,3600,29,,,,,,,,
2020-02-01,China,Hainan,934,57,,,,,,,,
2020-02-01,China,Hebei,7556,96,,,,,,,,
2020-02-01,China,Heilongjiang,3773,80,,,,,,,,
2020-02-01,China,Henan,9605,422,,,,,,,,
2020-02-01,China,Hong Kong SAR,745,13,,,,,,,,
2020-02-01,China,Hubei,5917,7153,,,,,,,,
2020-02-01,China,Hunan,6899,389,,,,,,,,
2020-02-01,China,Inner Mongolia,2534,23,,,,,,,,
2020-02-01,China,Jiangsu,8051,202,,,,,,,,
2020-02-01,China,Jiangxi,4648,286,,,,,,,,
2020-02-01,China,Jilin,2704,17,,,,,,,,
2020-02-01,China,Liaoning,4359,60,,,,,,,,
2020-02-01,China,Macao SAR,66,7,,,,,,,,
2020-02-01,China,Ningxia,688,26,,,,,,,,
2020-02-01,China,Qinghai,603,8,,,,,,,,
2020-02-01,China,Shaanxi,3864,101,,,,,,,,
2020-02-01,China,Shandong,10047,202,,,,,,,,
2020-02-01,China,Shanghai,2424,153,,,,,,,,
