date,country,adm,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_sus,n_inc_deaths,population_E4,n_cum_clin,n_cum_tot,n_inc_clin,n_inc_tot
2020-01-20,China,all,278,,,,,142823,,,,
2020-01-20,China,Beijing,5,,,,,2154,,,,
2020-01-20,China,Guangdong,14,,,,,11346,,,,
2020-01-20,China,Hubei,258,,,,,5917,,,,
2020-01-20,China,Shanghai,1,,,,,2424,,,,
2020-01-21,China,all,310,,,,,142823,,,,
2020-01-21,China,Beijing,5,,,,,2154,,,,
2020-01-21,China,Chongqing,1,,,,,3102,,,,
2020-01-21,China,Guangdong,17,,,,,11346,,,,
2020-01-21,China,Henan,1,,,,,9605,,,,
2020-01-21,China,Hubei,270,,,,,5917,,,,
2020-01-21,China,Hunan,1,,,,,6899,,,,
2020-01-21,China,Jiangxi,2,,,,,4648,,,,
2020-01-21,China,Shandong,1,,,,,10047,,,,
2020-01-21,China,Shanghai,2,,,,,2424,,,,
2020-01-21,China,Sichuan,1,,,,,8341,,,,
2020-01-21,China,Taiwan,1,,,,,2359,,,,
2020-01-21,China,Tianjin,2,,,,,1560,,,,
2020-01-21,China,Yunnan,1,,,,,4830,,,,
2020-01-21,China,Zhejiang,5,,,,,5737,,,,
2020-01-23,China,all,571,,,,,142823,,,,
2020-01-23,China,Beijing,10,,,,,2154,,,,
2020-01-23,China,Chongqing,5,,,,,3102,,,,
2020-01-23,China,Guangdong,26,,,,,11346,,,,
2020-01-23,China,Henan,1,,,,,9605,,,,
2020-01-23,China,Hong Kong SAR,1,,,,,745,,,,
2020-01-23,China,Hubei,375,,,,,5917,,,,
2020-01-23,China,Hunan,1,,,,,6899,,,,
2020-01-23,China,Jiangxi,2,,,,,4648,,,,
2020-01-23,China,Macao SAR,1,,,,,66,,,,
2020-01-23,China,Shandong,1,,,,,10047,,,,
2020-01-23,China,Shanghai,9,,,,,2424,,,,
2020-01-23,China,Sichuan,2,,,,,8341,,,,
2020-01-23,China,Taiwan,1,,,,,2359,,,,
2020-01-23,China,Tianjin,2,,,,,1560,,,,
2020-01-23,China,Yunnan,1,,,,,4830,,,,
2020-01-23,China,Zhejiang,5,,,,,5737,,,,
2020-01-24,China,all,830,,,,,142823,,,,
2020-01-24,China,Beijing,10,,,,,2154,,,,
2020-01-24,China,Chongqing,5,,,,,3102,,,,
2020-01-24,China,Guangdong,32,,,,,11346,,,,
2020-01-24,China,Henan,1,,,,,9605,,,,
2020-01-24,China,Hong Kong SAR,2,,,,,745,,,,
2020-01-24,China,Hubei,375,,,,,5917,,,,
2020-01-24,China,Hunan,1,,,,,6899,,,,
2020-01-24,China,Jiangxi,2,,,,,4648,,,,
2020-01-24,China,Macao SAR,2,,,,,66,,,,
2020-01-24,China,Shandong,1,,,,,10047,,,,
2020-01-24,China,Shanghai,9,,,,,2424,,,,
2020-01-24,China,Sichuan,2,,,,,8341,,,,
2020-01-24,China,Taiwan,1,,,,,2359,,,,
2020-01-24,China,Tianjin,2,,,,,1560,,,,
2020-01-24,China,Yunnan,1,,,,,4830,,,,
2020-01-24,China,Zhejiang,5,,,,,5737,,,,
2020-01-25,China,all,1297,,,,,142823,,,,
2020-01-26,China,all,1985,,,,,142823,,,,
2020-01-27,China,all,2761,,,,,142823,,,,
2020-01-28,China,all,4537,,,,,142823,,,,
2020-01-29,China,all,5997,,,,,142823,,,,
2020-01-30,China,all,7736,,,,,142823,,,,
2020-01-31,China,all,9720,,,,,142823,,,,
2020-02-01,China,all,11821,,,,,142823,,,,
2020-02-01,China,Anhui,297,,,,,6324,,,,
2020-02-01,China,Beijing,156,,,,,2154,,,,
2020-02-01,China,Chongqing,238,,,,,3102,,,,
2020-02-01,China,Fujian,144,,,,,3941,,,,
2020-02-01,China,Gansu,35,,,,,2637,,,,
2020-02-01,China,Guangdong,520,,,,,11346,,,,
2020-02-01,China,Guangxi,100,,,,,4926,,,,
2020-02-01,China,Guizhou,29,,,,,3600,,,,
2020-02-01,China,Hainan,57,,,,,934,,,,
2020-02-01,China,Hebei,96,,,,,7556,,,,
2020-02-01,China,Heilongjiang,80,,,,,3773,,,,
2020-02-01,China,Henan,422,,,,,9605,,,,
2020-02-01,China,Hong Kong SAR,13,,,,,745,,,,
2020-02-01,China,Hubei,7153,,,,,5917,,,,
2020-02-01,China,Hunan,389,,,,,6899,,,,
2020-02-01,China,Inner Mongolia,23,,,,,2534,,,,
2020-02-01,China,Jiangsu,202,,,,,8051,,,,
2020-02-01,China,Jiangxi,286,,,,,4648,,,,
2020-02-01,China,Jilin,17,,,,,2704,,,,
2020-02-01,China,Liaoning,60,,,,,4359,,,,
2020-02-01,China,Macao SAR,7,,,,,66,,,,
2020-02-01,China,Ningxia,26,,,,,688,,,,
2020-02-01,China,Qinghai,8,,,,,603,,,,
2020-02-01,China,Shaanxi,101,,,,,3864,,,,
2020-02-01,China,Shandong,202,,,,,10047,,,,
2020-02-01,China,Shanghai,153,,,,,2424,,,,
2020-02-01,China,Shanxi,47,,,,,3718,,,,
2020-02-01,China,Sichuan,207,,,,,8341,,,,
2020-02-01,China,Taiwan,10,,,,,2359,,,,
2020-02-01,China,Tianjin,34,,,,,1560,,,,
2020-02-01,China,Xinjiang,18,,,,,2487,,,,
2020-02-01,China,Xizang,1,,,,,344,,,,
2020-02-01,China,Yunnan,91,,,,,4830,,,,
2020-02-01,China,Zhejiang,599,,,,,5737,,,,
2020-02-02,China,all,14411,,,,,142823,,,,
2020-02-02,China,Anhui,340,,,,,6324,,,,
2020-02-02,China,Beijing,183,,,,,2154,,,,
2020-02-02,China,Chongqing,262,,,,,3102,,,,
2020-02-02,China,Fujian,159,,,,,3941,,,,
2020-02-02,China,Gansu,45,,,,,2637,,,,
2020-02-02,China,Guangdong,604,,,,,11346,,,,
2020-02-02,China,Guangxi,111,,,,,4926,,,,
2020-02-02,China,Guizhou,38,,,,,3600,,,,
2020-02-02,China,Hainan,63,,,,,934,,,,
2020-02-02,China,Hebei,104,,,,,7556,,,,
2020-02-02,China,Heilongjiang,95,,,,,3773,,,,
2020-02-02,China,Henan,493,,,,,9605,,,,
2020-02-02,China,Hong Kong SAR,14,,,,,745,,,,
2020-02-02,China,Hubei,9074,,,,,5917,,,,
2020-02-02,China,Hunan,463,,,,,6899,,,,
2020-02-02,China,Inner Mongolia,26,,,,,2534,,,,
2020-02-02,China,Jiangsu,231,,,,,8051,,,,
2020-02-02,China,Jiangxi,333,,,,,4648,,,,
2020-02-02,China,Jilin,21,,,,,2704,,,,
2020-02-02,China,Liaoning,64,,,,,4359,,,,
2020-02-02,China,Macao SAR,7,,,,,66,,,,
2020-02-02,China,Ningxia,28,,,,,688,,,,
2020-02-02,China,Qinghai,9,,,,,603,,,,
2020-02-02,China,Shaanxi,116,,,,,3864,,,,
2020-02-02,China,Shandong,225,,,,,10047,,,,
2020-02-02,China,Shanghai,177,,,,,2424,,,,
2020-02-02,China,Shanxi,56,,,,,3718,,,,
2020-02-02,China,Sichuan,236,,,,,8341,,,,
2020-02-02,China,Taiwan,10,,,,,2359,,,,
2020-02-02,China,Tianjin,40,,,,,1560,,,,
2020-02-02,China,Xinjiang,23,,,,,2487,,,,
2020-02-02,China,Xizang,1,,,,,344,,,,
2020-02-02,China,Yunnan,99,,,,,4830,,,,
2020-02-02,China,Zhejiang,661,,,,,5737,,,,
2020-02-03,China,all,17238,,,,,142823,,,,
2020-02-03,China,Anhui,408,,,,,6324,,,,
2020-02-03,China,Beijing,212,,,,,2154,,,,
2020-02-03,China,Chongqing,300,,,,,3102,,,,
2020-02-03,China,Fujian,179,,,,,3941,,,,
2020-02-03,China,Gansu,51,,,,,2637,,,,
2020-02-03,China,Guangdong,683,,,,,11346,,,,
2020-02-03,China,Guangxi,127,,,,,4926,,,,
2020-02-03,China,Guizhou,46,,,,,3600,,,,
2020-02-03,China,Hainan,70,,,,,934,,,,
2020-02-03,China,Hebei,113,,,,,7556,,,,
2020-02-03,China,Heilongjiang,118,,,,,3773,,,,
2020-02-03,China,Henan,566,,,,,9605,,,,
2020-02-03,China,Hong Kong SAR,15,,,,,745,,,,
2020-02-03,China,Hubei,11177,,,,,5917,,,,
2020-02-03,China,Hunan,521,,,,,6899,,,,
2020-02-03,China,Inner Mongolia,33,,,,,2534,,,,
2020-02-03,China,Jiangsu,271,,,,,8051,,,,
2020-02-03,China,Jiangxi,391,,,,,4648,,,,
2020-02-03,China,Jilin,31,,,,,2704,,,,
2020-02-03,China,Liaoning,70,,,,,4359,,,,
2020-02-03,China,Macao SAR,8,,,,,66,,,,
2020-02-03,China,Ningxia,31,,,,,688,,,,
2020-02-03,China,Qinghai,13,,,,,603,,,,
2020-02-03,China,Shaanxi,128,,,,,3864,,,,
2020-02-03,China,Shandong,246,,,,,10047,,,,
2020-02-03,China,Shanghai,193,,,,,2424,,,,
2020-02-03,China,Shanxi,66,,,,,3718,,,,
2020-02-03,China,Sichuan,254,,,,,8341,,,,
2020-02-03,China,Taiwan,10,,,,,2359,,,,
2020-02-03,China,Tianjin,49,,,,,1560,,,,
2020-02-03,China,Xinjiang,24,,,,,2487,,,,
2020-02-03,China,Xizang,1,,,,,344,,,,
2020-02-03,China,Yunnan,109,,,,,4830,,,,
2020-02-03,China,Zhejiang,724,,,,,5737,,,,
2020-02-04,China,all,20471,,,,,142823,,,,
2020-02-04,China,Anhui,480,,,,,6324,,,,
2020-02-04,China,Beijing,228,,,,,2154,,,,
2020-02-04,China,Chongqing,337,,,,,3102,,,,
2020-02-04,China,Fujian,194,,,,,3941,,,,
2020-02-04,China,Gansu,56,,,,,2637,,,,
